id,shop_name,shop_link,mall_id
0,5 Минут,,13
1,Рамстор,,12
2,Рамстор,,7
3,"""Бахус"" 5 Минут",,22
4,Small,,19
5,Technodom,,5
6,Small,,5
7,Мечта,,11
8,Гипермаркет МЕТРО,,2
9,Азбука связи,,7
10,Азбука Связи,,8
11,Азбука Связи,,25
12,Азбука Связи,,6
13,Alser,,12
14,Sulpak,,12
15,Спортмастер,,12
16,Технодом,,0
17,Гипермаркет КенМарт,,24
18,Алма,,18
19,Sulpak,,6
20,Технодом,,9
21,Керуен,,3
22,THEFACESHOP,,4
23,THEFACESHOP,,8
24,Ipoint.kz Apple store,,3
25,белый ветер,,15
26,Технодом,,1
27,белый ветер,,14
28,"ТД ""Колос""",,20
29,Рамстор,,27
30,Жибек Жолы,,21
31,,,16
32,Алма,,16
33,Бейбарыс 2 бутик,,10
34,Evrika mobile,,27
35,Технодом,,13
36,Mark formelle,,8
37,Mark Formelle,,27
38,Mark formelle,,25
39,Шалуны,,8
40,Mixit,,27
41,Kcell,,4
42,Kcell,,7
43,Kcell,,6
44,Ecco,,4
45,Ecco,,7
46,Shagovita,,27
47,Shagovita,,15
48,Shagovita,,7
49,StarLine,,15
50,Avrora Fashion Gallery,,6
51,Avrora Fashion Gallery,,8
52,Avrora Fashion Gallery,,8
53,Avrora Fashion Gallery,,27
54,Avrora Fashion Gallery,,27
55,Avrora Fashion Gallery,,3
56,Avrora Fashion Gallery,,3
57,Avrora Fashion Gallery,,7
58,Avrora Fashion Gallery,,7
59,Alser.kz,,4
60,Kcell,,17
61,Kcell,,25
62,Kcell,,10
63,Technodom,,17
64,Technodom,,3
65,Technodom,,27
66,Mothercare,,27
67,Mothercare,,3
68,Fora.kz,,9
69,MonAmie,,4
70,Small,,16
71,Small,,8
72,Small,,17
73,Small,,23
74,Freedom Mobile World,,6
75,Freedom Mobile World,,26
76,Freedom Mobile World,,13
77,DNS,,15
78,DNS,,6
79,Fora.kz,,8
